fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,18,MAHARASHTRA,1829,CHANDRAPUR,4716343,248.30841206408,45,732,8109.48367983701,14168,9,26387,4806699,502918,63645,1059879,107629,541.02858,20585.950219437,105910,184278,174501,499076,9293,383966,918919,40555,11935.4379596,2452801,78,34.78,13.06,102.11,NA
2024-2025,Dec,18,MAHARASHTRA,1832,WASHIM,2367506,297.771856526267,38,597,1133.262886015,2808,2,23505,2287234,162190,20349,65540,7300,364.20168,8308.203710915,60155,94863,85629,202847,2321,282618,561599,26313,6810.7391449,910120,89,62.6,23.77,99.43,NA
2024-2025,Dec,18,MAHARASHTRA,1833,GONDIA,6219077,216.59411741363,39,336,10641.628494762,16687,15,27117,6176472,509797,52489,963904,90067,675.40661,24694.910120462,156279,248856,237467,611411,7815,355518,840617,43804,13377.8750157,3951104,77,24.44,11.64,101.87,NA
2024-2025,Nov,18,MAHARASHTRA,1807,DHULE,1773387,298.780265553403,40,132,430.517685221,3176,16,31332,1855446,68071,16727,297762,72181,207.18665,6181.410821221,45634,73649,96798,270540,3859,444964,937752,34508,5543.706486,708464,89,66.12,0.2,104.59,NA
2024-2025,Nov,18,MAHARASHTRA,1809,AHMEDNAGAR,1568259,307.838049326332,33,134,1802.228233137,5660,34,41548,1798958,98585,32581,59980,25159,273.06654,7613.171988537,53502,89503,151432,437152,2940,770515,1908374,47208,5537.8772154,732457,90,67.4,0.09,104.65,NA
2024-2025,Nov,18,MAHARASHTRA,1810,PUNE,370626,319.106691467135,29,58,351.110376537,5336,250,20652,407788,20365,10211,48191,20934,77.84145,1730.230621537,13815,21970,55412,146311,456,379766,816157,25988,1301.278795,146941,93,68.86,0.02,103.95,NA
2024-2025,Nov,18,MAHARASHTRA,1818,BEED,7329701,334.54186278774,44,578,6605.158263068,2920,64,77542,7729222,124927,15962,16139,1889,868.28779,33330.9293108678,172981,300142,265288,650020,16687,684696,1416554,80462,25857.4832577998,3194082,79,39.5,4.9,331.5,NA
2024-2025,Nov,18,MAHARASHTRA,1823,AKOLA,1332533,294.003070800299,31,1843,495.983135511,5016,2,25471,1374062,210564,35577,69934,10122,188.49899,4724.266600211,44181,63657,87148,200223,2181,291418,563038,30487,4039.7844747,493094,91,39.15,4.45,109.2,NA
2024-2025,Nov,18,MAHARASHTRA,1802,THANE,344305,290.594104904884,32,37,129.280577999,3145,4,11230,372547,11682,3510,111431,33158,10.46202,1222.342217999,11603,19967,29380,95416,438,139726,329324,14375,1082.59962,156756,94,52.57,1.17,102.81,NA
2024-2025,Nov,18,MAHARASHTRA,1808,JALGAON,1733191,296.036493392874,34,143,1885.123489498,6810,53,40661,1939724,91922,31371,138552,37086,275.66074,7903.075140598,56382,85575,140491,345348,3435,673446,1271834,47471,5742.2909111,750253,92,53.34,0.79,104.41,NA
